pair,timeframe,accuracy,epochs,features,lookback,dropout,gru1,gru2
GBPUSD,1d,83.23586744639377,47,"['Open', 'High', 'Low', 'Close']",15,0.3,64,32
GBPUSD,1d,82.35294117647058,68,"['Open', 'High', 'Low', 'Close']",30,0.2,32,16
GBPUSD,1d,82.74509803921568,43,"['Open', 'High', 'Low', 'Close']",30,0.2,64,32
GBPUSD,1d,82.54901960784314,93,"['Open', 'High', 'Low', 'Close']",30,0.3,32,16
GBPUSD,1d,81.96078431372548,57,"['Open', 'High', 'Low', 'Close']",30,0.3,64,32
GBPUSD,1d,82.65107212475633,87,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.2,32,16
GBPUSD,1d,84.40545808966861,92,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.2,64,32
GBPUSD,1d,83.23586744639377,81,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.3,32,16
GBPUSD,1d,80.89668615984405,78,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.3,64,32
GBPUSD,1d,83.13725490196079,100,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.2,32,16
GBPUSD,1d,84.50980392156863,94,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.2,64,32
GBPUSD,1d,83.52941176470588,100,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.3,32,16
GBPUSD,1d,81.96078431372548,100,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.3,64,32
AUDUSD,1h,52.05673758865248,16,"['Open', 'High', 'Low', 'Close']",15,0.2,32,16
AUDUSD,1h,52.05673758865248,16,"['Open', 'High', 'Low', 'Close']",15,0.2,64,32
AUDUSD,1h,52.05673758865248,22,"['Open', 'High', 'Low', 'Close']",15,0.3,32,16
AUDUSD,1h,52.05673758865248,17,"['Open', 'High', 'Low', 'Close']",15,0.3,64,32
AUDUSD,1h,51.954513148543,24,"['Open', 'High', 'Low', 'Close']",30,0.2,32,16
AUDUSD,1h,51.954513148543,31,"['Open', 'High', 'Low', 'Close']",30,0.2,64,32
